indice_tiempo,total_recaudacion
1997-01-01,4353.758957380001
1997-02-01,3634.76220793
1997-03-01,3531.36025391
1997-04-01,3939.77734259
1997-05-01,4600.93050806
1997-06-01,3908.6077910999998
1997-07-01,4136.127520910001
1997-08-01,4009.26868835
1997-09-01,4083.262519749999
1997-10-01,3961.8721024100014
1997-11-01,4117.013020980001
1997-12-01,4250.573704570002
1998-01-01,4153.836208790001
1998-02-01,3928.5013594000006
1998-03-01,3888.02159529
1998-04-01,3899.38917788
1998-05-01,4703.723850810001
1998-06-01,4617.98512186
1998-07-01,4390.89977564
1998-08-01,4188.35460957
1998-09-01,3980.19471041
1998-10-01,3973.51045462
1998-11-01,4030.3126312
1998-12-01,4281.813560979998
1999-01-01,4179.71660927
1999-02-01,3753.37915926
1999-03-01,3904.796095350001
1999-04-01,3807.62174908
1999-05-01,4166.50943456
1999-06-01,4179.10385398
1999-07-01,4074.52778913
1999-08-01,3990.10569309
1999-09-01,3921.48339793
1999-10-01,3795.41934541
1999-11-01,3984.17060989
1999-12-01,3886.2244478000002
2000-01-01,4110.58014151
2000-02-01,3739.339138300001
2000-03-01,3812.89700236
2000-04-01,3892.57217731
2000-05-01,4341.3143552
2000-06-01,4824.328246559999
2000-07-01,4225.883777850001
2000-08-01,4208.62121667
2000-09-01,4071.91770826
2000-10-01,4022.85551068
2000-11-01,3920.76329302
2000-12-01,3931.29857278
2001-01-01,4219.0572167599985
2001-02-01,3764.29773562
2001-03-01,3321.6662610000008
2001-04-01,3538.30063011
2001-05-01,4690.52761486
2001-06-01,4589.573837930001
2001-07-01,3858.196230485
2001-08-01,4063.65065219
2001-09-01,3502.57517458
2001-10-01,3569.24094382
2001-11-01,3467.62333744
2001-12-01,2818.701596770001
2002-01-01,3411.235441869999
2002-02-01,3001.23548987
2002-03-01,3076.65926003
2002-04-01,2884.31958389
2002-05-01,4826.59616159
2002-06-01,4614.9095067399985
2002-07-01,4986.77851925
2002-08-01,4731.40867302
2002-09-01,4343.80109185
2002-10-01,4763.644598455
2002-11-01,5020.79318105
2002-12-01,4814.02109816
2003-01-01,5600.40514198
2003-02-01,4654.40699369
2003-03-01,4823.289831710002
2003-04-01,5456.798713810002
2003-05-01,7148.92421866
2003-06-01,6481.36387604
2003-07-01,6507.436785930003
2003-08-01,6055.293235089999
2003-09-01,6116.044601689999
2003-10-01,6284.55581359
2003-11-01,6393.79526163
2003-12-01,6752.2598152599985
2004-01-01,7159.96339146
2004-02-01,6360.17949957
2004-03-01,6612.900034764999
2004-04-01,7047.92983054
2004-05-01,12367.79148766
2004-06-01,9469.87981613
2004-07-01,8704.325907749999
2004-08-01,8469.467867369998
2004-09-01,7975.691837195
2004-10-01,8043.682640204999
2004-11-01,8102.753884785003
2004-12-01,7992.899674560002
2005-01-01,8802.493186605001
2005-02-01,8250.376845534998
2005-03-01,8357.598857530002
2005-04-01,9282.195029914998
2005-05-01,12045.60961182
2005-06-01,11054.151061175
2005-07-01,10011.58545391
2005-08-01,10258.15758541
2005-09-01,9886.9324624
2005-10-01,9890.296574985
2005-11-01,10112.953870165
2005-12-01,11299.98992424
2006-01-01,11164.671521679997
2006-02-01,10481.269804425
2006-03-01,10440.65268754
2006-04-01,10012.78007089
2006-05-01,14357.998163494995
2006-06-01,13832.48643373
2006-07-01,12688.88066888
2006-08-01,13012.848644829995
2006-09-01,12753.183258729998
2006-10-01,13360.54771412
2006-11-01,13785.078708819998
2006-12-01,14118.32958778
2007-01-01,14535.25060958
2007-02-01,13356.40280838
2007-03-01,13943.93472117
2007-04-01,13279.316675059996
2007-05-01,18875.28851788
2007-06-01,18036.50935336
2007-07-01,17469.580377465
2007-08-01,17873.85952344
2007-09-01,16734.49832205
2007-10-01,17650.45940321
2007-11-01,18405.72617573
2007-12-01,19620.780666690003
2008-01-01,21728.98987264
2008-02-01,19604.15035157
2008-03-01,17689.40336423
2008-04-01,20240.74125812
2008-05-01,24259.02675539
2008-06-01,23620.94791576
2008-07-01,24518.50515003
2008-08-01,24245.962471409995
2008-09-01,23899.602176370005
2008-10-01,24276.54533689
2008-11-01,21649.45869653
2008-12-01,23641.63967548
2009-01-01,24109.0412123
2009-02-01,22776.77714958
2009-03-01,21765.28295188
2009-04-01,23046.646842700004
2009-05-01,27291.37475232
2009-06-01,26752.780266799997
2009-07-01,27013.425516640003
2009-08-01,25272.32918945
2009-09-01,26231.72126131
2009-10-01,26416.943037
2009-11-01,26092.66154148
2009-12-01,28161.602266805
2010-01-01,29025.11512437
2010-02-01,27377.33463255
2010-03-01,28508.720526999998
2010-04-01,30129.57439115
2010-05-01,39344.728364879986
2010-06-01,37295.32937055
2010-07-01,37374.67586447
2010-08-01,34555.23921706998
2010-09-01,35649.10016994
2010-10-01,36077.479776130014
2010-11-01,36407.96694419
2010-12-01,38155.62950305
2011-01-01,40767.26164209
2011-02-01,36750.51319166
2011-03-01,37463.009568030015
2011-04-01,39738.38007192998
2011-05-01,50640.10600005999
2011-06-01,48679.148099225
2011-07-01,47844.84118661501
2011-08-01,46777.29035948
2011-09-01,47729.79926628
2011-10-01,47554.87227607
2011-11-01,47275.95515933
2011-12-01,48912.77460904
2012-01-01,52843.97984874
2012-02-01,47282.44325032001
2012-03-01,48363.17687667
2012-04-01,49435.86025065
2012-05-01,61026.33774937
2012-06-01,58684.12142408
2012-07-01,61316.81392888001
2012-08-01,60455.60910545
2012-09-01,57374.55586345001
2012-10-01,60130.63297132999
2012-11-01,60664.62589573999
2012-12-01,62220.802087265
2013-01-01,65682.782974275
2013-02-01,60887.81464082
2013-03-01,60278.37244582499
2013-04-01,67630.477140015
2013-05-01,77754.70795151999
2013-06-01,74695.83970262
2013-07-01,80298.12803159999
2013-08-01,75864.968209085
2013-09-01,71805.00783285999
2013-10-01,74292.14190404
2013-11-01,73582.95523891
2013-12-01,76059.774402335
2014-01-01,90307.16747115
2014-02-01,81172.93214081001
2014-03-01,78709.94871551
2014-04-01,92737.30854781
2014-05-01,105070.56989886
2014-06-01,101186.18396449
2014-07-01,107089.93670848
2014-08-01,99647.94192956
2014-09-01,98719.03315585
2014-10-01,104606.4049911
2014-11-01,101836.51508813
2014-12-01,108598.76736990998
2015-01-01,117458.44764199
2015-02-01,106557.86002451
2015-03-01,105400.26528059
2015-04-01,112658.62304883
2015-05-01,138138.87945319
2015-06-01,140837.77337687
2015-07-01,145998.56433685
2015-08-01,132515.218983
2015-09-01,129442.42606613002
2015-10-01,134417.06261348998
2015-11-01,129489.145231255
2015-12-01,145033.95284125
2016-01-01,162654.15131857
2016-02-01,134803.27726909998
2016-03-01,137762.36926039998
2016-04-01,150809.70255676
2016-05-01,170344.61015764
2016-06-01,174596.73135568
2016-07-01,180091.40352652004
2016-08-01,165763.09835166
2016-09-01,168317.25607225
2016-10-01,167196.31217207998
2016-11-01,182272.66508640003
2016-12-01,275542.1716931901
2017-01-01,211413.38814554
2017-02-01,172221.57082579
2017-03-01,212294.84218965
2017-04-01,187948.9920089
2017-05-01,206055.39205054
2017-06-01,226592.65403147
2017-07-01,237325.84681755
2017-08-01,221275.37447996
2017-09-01,224065.55502378
2017-10-01,219713.32577437
2017-11-01,224463.75656049
2017-12-01,235238.45993003
2018-01-01,261961.04110748
2018-02-01,235666.26739981
2018-03-01,238835.95069741
2018-04-01,236227.30272311
2018-05-01,295420.93418679
2018-06-01,298853.29289336
2018-07-01,293893.9885331501
2018-08-01,293418.40609410004
2018-09-01,295817.64357674
2018-10-01,312508.82685242005
2018-11-01,300119.36737178004
2018-12-01,319921.45509538
2019-01-01,363926.99770248
2019-02-01,330890.72098553
2019-03-01,327869.71187774
2019-04-01,357362.2762273
2019-05-01,444249.74776703
2019-06-01,454442.13743066
2019-07-01,450909.80214728
2019-08-01,458494.59830432
2019-09-01,422011.65800440003
2019-10-01,446171.7679775301
2019-11-01,474870.1133039901
2019-12-01,492366.5
2020-01-01,527284.55226448
2020-02-01,471693.29015600006
2020-03-01,443636.7
